YEAR,NUM_PER_MILLION,NUM_TOKENS,NUM_WORDS
1810,0,0,44723
1811,0,0,40673
1812,0,0,99920
1813,0,0,15767
1814,0,0,37145
1815,5,1,209161
1816,0,0,92999
1817,0,0,392867
1818,0,0,94531
1819,0,0,154639
1820,0,0,292710
1821,0,0,258934
1822,11,7,637381
1823,0,0,1207108
1824,0,0,771215
1825,3,1,286596
1826,0,0,409868
1827,0,0,1700408
1828,0,0,635209
1829,0,0,734244
1830,0,0,704561
1831,0,0,708652
1832,0,0,1193025
1833,0,0,1303587
1834,0,0,1417633
1835,0,0,2824410
1836,0,0,1323026
1837,0,0,995635
1838,0,0,1195413
1839,0,0,2120746
1840,0,0,895711
1841,0,0,967002
1842,0,0,919319
1843,0,0,1663846
1844,1,1,1677424
1845,0,0,2192395
1846,0,0,1781827
1847,0,0,1721234
1848,0,0,2057233
1849,0,0,2184614
1850,0,0,1490833
1851,0,0,1544965
1852,0,0,1835790
1853,0,0,1806488
1854,0,0,1929124
1855,0.48,1,2074125
1856,0,0,2391816
1857,0,0,912657
1858,0,0,877945
1859,0,0,1620806
1860,0,0,1759658
1861,1.6,2,1246998
1862,0,0,1265004
1863,0,0,1633036
1864,0,0,2043029
1865,0,0,1112290
1866,2.97,5,1684546
1867,0,0,1794452
1868,0,0,1898923
1869,0,0,2637986
1870,0,0,1593754
1871,0,0,1929627
1872,0.64,1,1559840
1873,4.09,11,2691144
1874,0.51,1,1942644
1875,0.38,1,2643611
1876,2.5,5,1997010
1877,0,0,1510198
1878,0,0,1034219
1879,0,0,1696660
1880,0.92,2,2164321
1881,2.72,4,1472639
1882,1.61,3,1867913
1883,12.04,23,1910847
1884,21.72,47,2163865
1885,13.95,26,1863877
1886,4.04,9,2229906
1887,9.9,22,2222593
1888,6.25,13,2078642
1889,12.96,31,2392142
1890,10.59,17,1604726
1891,7.41,16,2158209
1892,8.88,16,1800846
1893,10.45,18,1722855
1894,3.03,7,2313557
1895,11.14,17,1526153
1896,2.61,8,3063446
1897,4.22,10,2369545
1898,5.23,10,1910368
1899,3.2,7,2189608
1900,9.46,27,2854257
1901,5.18,7,1350893
1902,5.68,13,2290302
1903,2.72,4,1468624
1904,4.85,9,1854338
1905,3.89,9,2313824
1906,4.43,9,2029593
1907,3.7,9,2429992
1908,4.02,8,1991579
1909,2.8,10,3573882
1910,3.19,7,2197379
1911,0.76,2,2632687
1912,5.35,13,2429147
1913,1.67,4,2398616
1914,1.14,3,2630984
1915,1.94,4,2059886
1916,0.51,1,1966458
1917,3.04,8,2635773
1918,5.69,9,1582025
1919,2.69,6,2232328
1920,2.26,10,4428492
1921,0.64,3,4708477
1922,4.49,24,5350860
1923,1.21,2,1658216
1924,3.52,5,1419626
1925,4.35,8,1839395
1926,4.27,5,1169833
1927,2.81,4,1421762
1928,3.85,8,2077827
1929,1.66,3,1811982
1930,0.89,2,2236902
1931,2.86,8,2797702
1932,4.08,11,2695536
1933,3.28,8,2442355
1934,2.27,5,2203429
1935,0.42,1,2377412
1936,1.26,3,2387508
1937,1.87,5,2676355
1938,0.41,1,2437867
1939,1.96,5,2553615
1940,2.05,5,2439752
1941,1.46,4,2738125
1942,1.98,5,2525106
1943,3.23,8,2479665
1944,1.01,2,1978150
1945,0.43,1,2326953
1946,0.37,1,2722144
1947,1.24,3,2414223
1948,0.41,1,2411828
1949,3.95,10,2534799
1950,1.89,5,2645725
1951,0.8,2,2503821
1952,1.61,4,2479405
1953,1.27,3,2360028
1954,1.31,3,2291927
1955,1.6,4,2492639
1956,3.85,10,2594542
1957,3.03,7,2310022
1958,0,0,2670520
1959,0.82,2,2431723
1960,0,0,2595120
1961,4.26,10,2346541
1962,1.42,4,2823099
1963,3.87,9,2323231
1964,1.91,4,2095753
1965,1.31,3,2282678
1966,2.11,5,2365355
1967,1.83,5,2732988
1968,1.81,4,2215244
1969,1.67,4,2398986
1970,1.08,3,2768414
1971,4.93,13,2638645
1972,0.8,2,2509585
1973,0.42,1,2365012
1974,0.91,2,2191708
1975,1.29,3,2324346
1976,0.84,2,2386579
1977,2.42,6,2478821
1978,0,0,2074743
1979,0,0,2269967
1980,0.77,2,2607704
1981,0,0,2735531
1982,1.22,3,2453444
1983,1.58,4,2537549
1984,1.58,4,2531443
1985,0.81,2,2469914
1986,0,0,2325147
1987,0.71,2,2830536
1988,1.18,3,2551294
1989,2.8,7,2496012
1990,1.96,3,1533395
1991,0,0,1563810
1992,0.97,2,2067394
1993,0.91,5,5500852
1994,0,0,2463393
1995,1.36,4,2951236
1996,3.15,8,2541575
1997,0,0,2808163
1998,0,0,3080046
1999,1.98,7,3544080
2000,0,0,3216713
2001,2.89,10,3456924
2002,0.33,1,3064243
2003,0.31,1,3195751
2004,0.78,3,3865480
2005,0.9,3,3343565
2006,0.84,3,3587891
2007,0.66,2,3039945
2008,1,1,834485
2009,0,1,2146020
