YEAR,NUM_PER_MILLION,NUM_TOKENS,NUM_WORDS
1810,0,0,44723
1811,0,0,40673
1812,0,0,99920
1813,0,0,15767
1814,0,0,37145
1815,0,0,209161
1816,0,0,92999
1817,0,0,392867
1818,0,0,94531
1819,0,0,154639
1820,0,0,292710
1821,0,0,258934
1822,0,0,637381
1823,0,0,1207108
1824,0,0,771215
1825,0,0,286596
1826,0,0,409868
1827,0,0,1700408
1828,0,0,635209
1829,0,0,734244
1830,0,0,704561
1831,0,0,708652
1832,0,0,1193025
1833,0,0,1303587
1834,0,0,1417633
1835,0,0,2824410
1836,0,0,1323026
1837,0,0,995635
1838,0,0,1195413
1839,0.47,1,2120746
1840,0,0,895711
1841,0,0,967002
1842,0,0,919319
1843,0,0,1663846
1844,0,0,1677424
1845,0,0,2192395
1846,0,0,1781827
1847,0,0,1721234
1848,0,0,2057233
1849,0,0,2184614
1850,0,0,1490833
1851,0,0,1544965
1852,0,0,1835790
1853,0,0,1806488
1854,0,0,1929124
1855,0,0,2074125
1856,0,0,2391816
1857,0,0,912657
1858,0,0,877945
1859,0,0,1620806
1860,0,0,1759658
1861,0,0,1246998
1862,0,0,1265004
1863,0,0,1633036
1864,0,0,2043029
1865,0,0,1112290
1866,0,0,1684546
1867,0,0,1794452
1868,0,0,1898923
1869,0,0,2637986
1870,0,0,1593754
1871,0,0,1929627
1872,0,0,1559840
1873,0,0,2691144
1874,0,0,1942644
1875,0,0,2643611
1876,0,0,1997010
1877,0,0,1510198
1878,0,0,1034219
1879,0,0,1696660
1880,0,0,2164321
1881,0,0,1472639
1882,0,0,1867913
1883,0,0,1910847
1884,0,0,2163865
1885,0,0,1863877
1886,0,0,2229906
1887,0.45,1,2222593
1888,0,0,2078642
1889,0,0,2392142
1890,0,0,1604726
1891,0,0,2158209
1892,0,0,1800846
1893,0,0,1722855
1894,0,0,2313557
1895,0,0,1526153
1896,0,0,3063446
1897,0,0,2369545
1898,0,0,1910368
1899,0,0,2189608
1900,0,0,2854257
1901,0,0,1350893
1902,1.31,3,2290302
1903,0,0,1468624
1904,0,0,1854338
1905,0.86,2,2313824
1906,0,0,2029593
1907,0.82,2,2429992
1908,0,0,1991579
1909,0,0,3573882
1910,0,0,2197379
1911,0,0,2632687
1912,0.41,1,2429147
1913,0.42,1,2398616
1914,0,0,2630984
1915,0,0,2059886
1916,0,0,1966458
1917,0,0,2635773
1918,1.26,2,1582025
1919,1.34,3,2232328
1920,0,0,4428492
1921,0,0,4708477
1922,0,0,5350860
1923,0.6,1,1658216
1924,0,0,1419626
1925,0,0,1839395
1926,0.85,1,1169833
1927,0,0,1421762
1928,0.48,1,2077827
1929,2.76,5,1811982
1930,1.34,3,2236902
1931,0,0,2797702
1932,0.74,2,2695536
1933,0.41,1,2442355
1934,0,0,2203429
1935,0,0,2377412
1936,1.26,3,2387508
1937,1.49,4,2676355
1938,0.82,2,2437867
1939,1.17,3,2553615
1940,0,0,2439752
1941,0.73,2,2738125
1942,1.19,3,2525106
1943,0.4,1,2479665
1944,0.51,1,1978150
1945,3.44,8,2326953
1946,10.29,28,2722144
1947,6.63,16,2414223
1948,9.12,22,2411828
1949,28.8,73,2534799
1950,155.34,411,2645725
1951,132.2,331,2503821
1952,75.82,188,2479405
1953,58.47,138,2360028
1954,40.58,93,2291927
1955,35.3,88,2492639
1956,37,96,2594542
1957,35.5,82,2310022
1958,16.85,45,2670520
1959,22.62,55,2431723
1960,20.42,53,2595120
1961,27.7,65,2346541
1962,17.36,49,2823099
1963,30.56,71,2323231
1964,13.84,29,2095753
1965,24.09,55,2282678
1966,15.22,36,2365355
1967,27.81,76,2732988
1968,13.99,31,2215244
1969,17.09,41,2398986
1970,10.84,30,2768414
1971,12.51,33,2638645
1972,17.13,43,2509585
1973,14.38,34,2365012
1974,10.04,22,2191708
1975,12.05,28,2324346
1976,22.21,53,2386579
1977,10.89,27,2478821
1978,7.71,16,2074743
1979,17.62,40,2269967
1980,7.67,20,2607704
1981,13.89,38,2735531
1982,15.08,37,2453444
1983,20.89,53,2537549
1984,17.38,44,2531443
1985,31.58,78,2469914
1986,6.45,15,2325147
1987,21.55,61,2830536
1988,14.5,37,2551294
1989,6.41,16,2496012
1990,7.17,11,1533395
1991,3.84,6,1563810
1992,10.64,22,2067394
1993,3.27,18,5500852
1994,25.57,63,2463393
1995,9.49,28,2951236
1996,16.53,42,2541575
1997,13.18,37,2808163
1998,9.74,30,3080046
1999,12.42,44,3544080
2000,8.7,28,3216713
2001,10.99,38,3456924
2002,19.58,60,3064243
2003,6.57,21,3195751
2004,6.73,26,3865480
2005,8.37,28,3343565
2006,5.85,21,3587891
2007,8.55,26,3039945
2008,15.58,13,834485
2009,2.33,5,2146020
